trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-220.24396234435795,"{0: 7, 1: 3, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-174.2567481302391,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-77.58406657849551,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-114.71303369388227,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-101.60542950367243,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-117.34261552860785,"{0: 16, 1: 7, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-59.58831902301647,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-49.99279213502643,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-78.99195059411547,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-63.98009959964516,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-47.652212979762346,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,10,-23.06311092547625,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-33.75610662079284,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,-14.852288916754267,"{0: 9, 1: 5, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-45.80759898219117,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,3,-62.48925801441309,"{0: 13, 1: 7, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-51.484381471683434,"{0: 21, 1: 8, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-28.388612372829055,"{0: 13, 1: 6, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-19.623115963627765,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-7.395015470536249,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-16.694773594693864,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,3,12.784141302501082,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-14.655171213655542,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-8.776316459994243,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,9,7.72938108979292,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,3.5386510451456354,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,3,-18.050918620605575,"{0: 11, 1: 6, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,14,13.817557309284744,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-2.387660868269476,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-11.410189864323492,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
