trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.98}",20,0,-76.59744133249436,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.96}",20,0,-63.63848796231716,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.94}",20,0,-74.87879537283429,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.9199999999999999}",20,0,-82.74782485786834,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.8999999999999999}",25,0,-179.34806894222348,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.6, 'e': 0.8799999999999999}",30,6,-62.721741158244534,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 0}",1
7,False,"{'a': 0.6, 'e': 0.8599999999999999}",20,0,-110.76654935427786,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.8399999999999999}",20,0,-81.03549174998285,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.8199999999999998}",25,0,-71.20159928836974,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.7999999999999998}",20,0,-90.96595489892104,"{0: 12, 1: 4, 2: 0, 3: 4, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.7799999999999998}",30,0,-98.28708409996636,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.7599999999999998}",20,0,-105.53306971003325,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.6, 'e': 0.7399999999999998}",25,11,-47.87778763906015,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.6, 'e': 0.7199999999999998}",20,0,-80.87539882547635,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
