trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.39183862842526,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.06395269435058,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.21740656698573,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.98916824611868,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.88165131427863,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.00812827342534,"{0: 16, 1: 5, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.92611523338118,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.9233500297182,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.06259998412483,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.839399440660685,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.7473744813345,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.2498818240094,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.32599859285625,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.09205741255388,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.25356522633064,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.65125187320676,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.2704905336044,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.05553214798405,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.55228367255432,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,1,-132.8150670956651,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.5676998835391,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.71638170448605,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-257.135601243555,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.74410512270134,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.4620768028471,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-59.062281514035796,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.74011648468107,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.19053971611416,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-210.27184878929114,"{0: 11, 1: 7, 2: 3, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-292.2757352980004,"{0: 5, 1: 5, 2: 3, 3: 2, 4: 5}",0
